variavel,descrição,tipo,subtipo
survived,Indica se o passageiro sobreviveu (1) ou não (0),qualitativa,nominal
pclass,"Classe do ticket do passageiro (1 = 1ª, 2 = 2ª, 3 = 3ª)",qualitativa,ordinal
sex,Sexo do passageiro,qualitativa,nominal
age,Idade do passageiro,quantitativa,contínua
sibsp,Número de irmãos/cônjuges a bordo,quantitativa,discreta
parch,Número de pais/filhos a bordo,quantitativa,discreta
fare,Tarifa paga pelo passageiro,quantitativa,contínua
embarked,Porto de embarque (C = Cherbourg; Q = Queenstown; S = Southampton),qualitativa,nominal
class,"Classe do ticket (Primeira, Segunda, Terceira)",qualitativa,ordinal
who,"Descrição da pessoa (homem, mulher, criança)",qualitativa,nominal
adult_male,Indica se é um homem adulto (Verdadeiro/Falso),qualitativa,nominal
deck,Deck do passageiro,qualitativa,nominal
embark_town,Cidade de embarque,qualitativa,nominal
alive,Indica se o passageiro sobreviveu (sim ou não),qualitativa,nominal
alone,Indica se o passageiro estava sozinho (Verdadeiro/Falso),qualitativa,nominal
